updateTime,latitude,longitude,speed,direction,address
1770981559000,-8.804053,13.24102,6296.8,29,
1770981566000,-8.803385,13.2414465,4459.616,35,
1770981571000,-8.803068,13.241774,1676.06,62,
1770981573000,-8.803079,13.241877,2239.068,100,
1770981577000,-8.803145,13.242068,2222.4,119,
1770981589000,-8.803555,13.24281,2968.7560000000003,134,
1770981593000,-8.803766,13.243123,3348.416,119,
1770981598000,-8.803987,13.24342,3718.8160000000003,137,
1770981602000,-8.804307,13.243651,3524.3559999999998,148,
1770981606000,-8.8046,13.243863,2974.312,149,
1770981610000,-8.804823,13.244045,2231.66,136,
1770981612000,-8.804935,13.244132,2963.2,151,
1770981614000,-8.8050165,13.244233,1857.556,130,
1770981618000,-8.804892,13.244502,3905.868,57,
1770981626000,-8.80432,13.245274,5191.156,59,
1770981636000,-8.803753,13.246444,4642.964,69,
1770981638000,-8.803675,13.246683,4824.46,70,
1770981649000,-8.80336,13.247993,6111.6,78,
1770981650000,-8.803305,13.248285,5567.112,84,
1770981660000,-8.803099,13.249552,2790.964,96,
1770981662000,-8.803164,13.249665,2602.06,143,
1770981666000,-8.803409,13.249925,4267.008,120,
1770981668000,-8.803463,13.250118,4263.304,97,
1770981672000,-8.803445,13.250525,4261.451999999999,79,
1770981674000,-8.8034,13.250742,4087.364,79,
1770981686000,-8.803238,13.252053,5005.956,84,
1770981698000,-8.8031,13.25344,3896.608,85,
1770981710000,-8.80299,13.254387,3533.6160000000004,82,
1770981722000,-8.802878,13.255502,3533.6160000000004,84,
1770981734000,-8.80278,13.2565,2592.8,85,
1770981746000,-8.8027,13.257497,3346.564,82,
1770981756000,-8.802637,13.258228,1485.304,105,
1770981770000,-8.80266,13.25828,0,101,
1770981793000,-8.802624,13.258385,929.7040000000001,81,
1770981794000,-8.802618,13.258433,1668.652,81,
1770981806000,-8.802526,13.259407,2609.468,86,
1770981818000,-8.802413,13.260358,3705.852,85,
1770981827000,-8.802352,13.261111,2603.912,94,
1770981830000,-8.802317,13.261454,3528.06,79,
1770981842000,-8.802203,13.262649,3533.6160000000004,85,
1770981854000,-8.802085,13.263726,3528.06,84,
1770981866000,-8.801976,13.264735,2787.2599999999998,83,
1770981873000,-8.801875,13.265119,2596.504,63,
1770981878000,-8.801668,13.265445,3518.8,53,
1770981884000,-8.801336,13.265908,4270.712,51,
1770981890000,-8.800977,13.2663965,4261.451999999999,54,
1770981902000,-8.800299,13.267332,3341.0080000000003,51,
1770981914000,-8.799717,13.268086,1852,57,
1770981926000,-8.799316,13.26861,2224.252,52,
1770981931000,-8.799178,13.26874,1864.964,18,
1770981935000,-8.798952,13.268753,2053.868,343,
1770981937000,-8.798848,13.268697,2235.364,325,
1770981938000,-8.798732,13.268612,2239.068,320,
1770981941000,-8.798663,13.268545,940.816,306,
1770981943000,-8.798627,13.268492,935.26,287,
1770981945000,-8.798622,13.268436,1122.3120000000001,263,
1770981950000,-8.798695,13.26806,3161.364,242,
1770981959000,-8.798888,13.267537,1861.2599999999998,256,
1770981962000,-8.798893,13.267404,563.008,310,
1770981965000,-8.798852,13.267379,1298.252,335,
1770981967000,-8.79878,13.267364,1313.068,1,
1770981969000,-8.798672,13.267346,2416.8599999999997,349,
1770981974000,-8.798385,13.267248,746.356,332,
1770981986000,-8.79829,13.267194,0,332,
1770981998000,-8.798182,13.267098,1309.364,342,
1770982005000,-8.797755,13.267002,2239.068,9,
1770982010000,-8.797525,13.267065,1852,16,
1770982013000,-8.797234,13.266996,2976.1639999999998,335,
1770982022000,-8.796605,13.266679,3715.112,331,
1770982034000,-8.795713,13.266229,2231.66,339,
1770982037000,-8.795511,13.266289,2418.712,36,
1770982043000,-8.795132,13.266653,2968.7560000000003,54,
1770982046000,-8.795052,13.266751,1864.964,47,
1770982049000,-8.795067,13.2669735,2592.8,112,
1770982051000,-8.795154,13.267058,2418.712,134,
1770982058000,-8.795533,13.2674,4452.2080000000005,140,
1770982070000,-8.796356,13.268066,931.5559999999999,177,
1770982083000,-8.7965,13.268091,0,172,
1770987076000,-8.797017,13.267629,2233.5119999999997,249,
1770987078000,-8.797051,13.267527,1861.2599999999998,263,
1770987080000,-8.797033,13.267424,2044.6080000000002,301,
1770987093000,-8.796812,13.267161,564.86,311,
1770987096000,-8.796763,13.267058,1494.5639999999999,254,
1770987098000,-8.7968,13.266996,1298.252,213,
1770987108000,-8.796802,13.266835,1670.5040000000001,311,
1770987110000,-8.796706,13.26678,2598.356,335,
1770987117000,-8.796271,13.26657,3159.5119999999997,335,
1770987129000,-8.795432,13.266138,2792.816,336,
1770987137000,-8.794909,13.265835,2976.1639999999998,321,
1770987141000,-8.794652,13.265663,3350.268,331,
1770987151000,-8.793993,13.265252,2415.0080000000003,295,
1770987153000,-8.79395,13.265152,2039.0520000000001,288,
1770987161000,-8.794086,13.264624,2603.912,270,
1770987163000,-8.794066,13.26449,2607.616,292,
1770987165000,-8.794022,13.264367,2607.616,290,
1770987173000,-8.79416,13.26384,2040.904,275,
1770987177000,-8.794185,13.263732,751.912,292,
1770987188000,-8.795564,13.264361,2789.112,161,
1770987197000,-8.796322,13.264658,1668.652,183,
1770987198000,-8.796418,13.264617,2235.364,214,
1770987200000,-8.796487,13.264512,2594.652,238,
1770987204000,-8.796607,13.264202,3341.0080000000003,250,
1770987208000,-8.796728,13.263953,2592.8,238,
1770987213000,-8.796833,13.263732,1861.2599999999998,247,
1770987225000,-8.797218,13.263077,1866.816,240,
1770987237000,-8.797613,13.262348,2781.704,239,
1770987242000,-8.797769,13.261942,2596.504,263,
1770987244000,-8.79776,13.261795,2594.652,280,
1770987249000,-8.797691,13.261508,2231.66,276,
1770987256000,-8.797572,13.260972,1866.816,295,
1770987258000,-8.797522,13.260901,1864.964,314,
1770987260000,-8.79741,13.26082,2789.112,327,
1770987266000,-8.797042,13.2606535,2044.6080000000002,340,
1770987268000,-8.796948,13.26061,1852,325,
1770987271000,-8.796918,13.260531,1681.616,292,
1770987273000,-8.796964,13.260451,1674.208,234,
1770987279000,-8.79715,13.260117,2600.208,242,
1770987285000,-8.797401,13.2597,2787.2599999999998,237,
1770987297000,-8.797724,13.259015,2229.808,241,
1770987309000,-8.79808,13.258377,2231.66,242,
1770987317000,-8.798225,13.258063,1494.5639999999999,255,
1770987321000,-8.79829,13.257905,1679.764,241,
1770987325000,-8.798373,13.257769,1485.304,222,
1770987329000,-8.798462,13.257658,1111.2,257,
1770987333000,-8.798482,13.257488,1305.66,291,
1770987337000,-8.798529,13.257325,1666.8,240,
1770987345000,-8.798752,13.256947,1672.3560000000002,216,
1770987349000,-8.799025,13.257002,3150.252,151,
1770987357000,-8.79962,13.257258,1126.016,183,
1770987369000,-8.800009,13.256673,2416.8599999999997,238,
1770987381000,-8.800457,13.255763,2422.416,245,
1770987387000,-8.800687,13.255475,2783.556,205,
1770987389000,-8.800827,13.255497,2779.852,171,
1770987393000,-8.801035,13.255518,1126.016,187,
1770987395000,-8.801082,13.255525,555.6,132,
1770987405000,-8.80138,13.255477,377.808,39,
1770987407000,-8.80129,13.255508,1676.06,10,
1770987409000,-8.8012,13.255511,935.26,328,
1770987411000,-8.801158,13.255491,566.712,248,
1770987446000,-8.801205,13.255466,1118.608,158,
1770987448000,-8.801295,13.255471,1496.416,201,
1770987450000,-8.801355,13.2554035,1672.3560000000002,250,
1770987453000,-8.801423,13.255181,2224.252,255,
1770987458000,-8.8014965,13.255052,744.504,173,
1770987460000,-8.801537,13.255078,1114.904,133,
1770987489000,-8.801322,13.254987,0,351,
1770987501000,-8.8012,13.255038,0,100,
1770988933000,-8.801472,13.25534,1868.6680000000001,58,
1770988935000,-8.80138,13.255413,1670.5040000000001,17,
1770988939000,-8.801148,13.255448,1868.6680000000001,353,
1770988943000,-8.8008585,13.25549,2966.904,11,
1770988947000,-8.800596,13.255597,1857.556,36,
1770988949000,-8.800553,13.255683,2039.0520000000001,61,
1770988955000,-8.800359,13.256097,2978.016,59,
1770988967000,-8.799956,13.256965,2783.556,62,
1770988971000,-8.799842,13.257203,1490.8600000000001,73,
1770988973000,-8.799858,13.257298,1311.216,127,
1770988975000,-8.799962,13.257355,2594.652,158,
1770988979000,-8.800252,13.257497,2789.112,153,
1770988984000,-8.800515,13.257573,2039.0520000000001,173,
1770988986000,-8.800598,13.257575,1489.008,187,
1770988991000,-8.800899,13.25753,1857.556,190,
1770988996000,-8.80109,13.257537,1853.852,171,
1770988998000,-8.801165,13.257537,1111.2,185,
1770989003000,-8.801322,13.257537,2042.756,175,
1770989006000,-8.801405,13.257508,1311.216,225,
1770989010000,-8.801505,13.257377,1681.616,249,
1770989015000,-8.801653,13.256908,4083.66,265,
1770989027000,-8.801775,13.255755,2416.8599999999997,259,
1770989036000,-8.801931,13.255056,4265.156,246,
1770989039000,-8.802123,13.254648,4457.764,246,
1770989043000,-8.802308,13.254223,4265.156,248,
1770989051000,-8.802535,13.25348,2609.468,259,
1770989063000,-8.802671,13.252645,3715.112,260,
1770989075000,-8.80287,13.251402,4270.712,261,
1770989087000,-8.803026,13.250105,4083.66,265,
1770989091000,-8.8031,13.249772,2594.652,240,
1770989093000,-8.803186,13.24972,1666.8,177,
1770989095000,-8.803248,13.249757,1677.9119999999998,136,
1770989099000,-8.8034115,13.250007,3348.416,112,
1770989101000,-8.803443,13.25018,3528.06,96,
1770989111000,-8.803445,13.250695,0,60,
1770989113000,-8.803405,13.25081,1852,82,
1770989122000,-8.803387,13.251357,940.816,104,
1770989135000,-8.803436,13.251389,0,209,
1770989144000,-8.803555,13.251358,1309.364,192,
1770989147000,-8.803617,13.251344,1118.608,191,
1770989154000,-8.803663,13.251353,755.616,224,
1770989156000,-8.8036585,13.2514515,757.4680000000001,76,
1770989158000,-8.803638,13.2515,1298.252,60,
1770989166000,-8.803563,13.251665,561.1560000000001,74,
1770989516000,-8.803645,13.25134,0,57,
1770989528000,-8.803552,13.251416,1313.068,340,
1770989532000,-8.803438,13.251367,572.268,10,
1770989538000,-8.803378,13.251397,1124.164,71,
1770989540000,-8.803353,13.251458,1298.252,80,
1770989546000,-8.803268,13.251879,3533.6160000000004,87,
1770989552000,-8.803202,13.252415,3339.156,85,
1770989564000,-8.803073,13.253682,3896.608,83,
1770989576000,-8.803007,13.254448,0,14,
1770989579000,-8.802988,13.254503,753.764,67,
1770989600000,-8.802975,13.255326,2229.808,80,
1770989603000,-8.80296,13.255617,3153.956,98,
1770989605000,-8.802948,13.255758,2233.5119999999997,82,
1770989612000,-8.802874,13.256126,1490.8600000000001,80,
1770989624000,-8.802763,13.257087,2779.852,85,
1770989636000,-8.802647,13.257835,1857.556,78,
1770989643000,-8.802571,13.258226,1120.46,48,
1770989645000,-8.802531,13.258305,1672.3560000000002,76,
1770989647000,-8.802535,13.258402,1857.556,91,
1770989657000,-8.802524,13.258966,1118.608,79,
1770989660000,-8.802504,13.259035,1300.104,72,
1770989672000,-8.802526,13.259178,0,103,
1770989678000,-8.80251,13.259343,2415.0080000000003,87,
1770989684000,-8.80246,13.259912,3333.6,84,
1770989696000,-8.802397,13.26082,3150.252,82,
1770989706000,-8.802263,13.261742,3720.668,74,
1770989708000,-8.80224,13.261933,3718.8160000000003,86,
1770989720000,-8.802118,13.263228,4259.6,83,
1770989732000,-8.801991,13.264557,4272.564,84,
1770989736000,-8.801918,13.26497,3520.6519999999996,74,
1770989742000,-8.801679,13.265467,4081.808,55,
1770989744000,-8.801554,13.265643,3705.852,56,
1770989756000,-8.800795,13.26666,3707.704,53,
1770989766000,-8.800225,13.267411,4076.2519999999995,53,
1770989768000,-8.800112,13.267567,3518.8,52,
1770989780000,-8.799568,13.268315,2596.504,53,
1770989792000,-8.79905,13.268933,3344.7120000000004,53,
1770989804000,-8.798344,13.269938,5193.008,57,
1770989816000,-8.797272,13.271408,5563.408,53,
1770989828000,-8.796157,13.272922,5931.956,54,
1770989840000,-8.795076,13.274388,5939.364,50,
1770989849000,-8.794405,13.275367,5572.668,68,
1770989852000,-8.794229,13.275891,5387.468,69,
1770989857000,-8.79392,13.276388,5568.964,48,
1770989861000,-8.793378,13.276838,5563.408,33,
1770989864000,-8.792955,13.277251,5933.808,54,
1770989876000,-8.792278,13.278321,4087.364,57,
1770989885000,-8.791879,13.279068,4261.451999999999,66,
1770989888000,-8.791714,13.279425,3528.06,62,
1770989900000,-8.7911215,13.2804985,4455.912,62,
1770989912000,-8.790522,13.28161,4259.6,58,
1770989920000,-8.790073,13.282316,3713.2599999999998,52,
1770989924000,-8.789833,13.282699,4276.268,62,
1770989936000,-8.789198,13.283829,4263.304,64,
1770989946000,-8.788653,13.28482,4270.712,63,
1770989948000,-8.788551,13.285008,4265.156,60,
1770989960000,-8.788032,13.285945,4259.6,59,
1770989972000,-8.78738,13.287145,4455.912,61,
1770989984000,-8.786754,13.288293,3894.756,58,
1770989996000,-8.786074,13.289383,3905.868,60,
1770990002000,-8.785804,13.289865,1498.268,50,
1770990004000,-8.785797,13.289933,1309.364,102,
1770990006000,-8.78583,13.289985,753.764,132,
1770990020000,-8.78587,13.290022,0,189,
1770990567000,-8.785876,13.289958,374.104,258,
1770990573000,-8.785815,13.290005,1674.208,49,
1770990577000,-8.785639,13.290261,3904.0160000000005,63,
1770990579000,-8.785526,13.290453,4446.652,61,
1770990591000,-8.784946,13.291775,4630,69,
1770990599000,-8.784681,13.292309,1853.852,351,
1770990601000,-8.784608,13.292272,1298.252,306,
1770990603000,-8.784594,13.292209,1492.712,264,
1770990606000,-8.784616,13.292136,1489.008,243,
1770990608000,-8.784647,13.292064,1853.852,256,
1770990613000,-8.784786,13.2916765,4817.052,242,
1770990615000,-8.784925,13.29143,4822.608,240,
1770990627000,-8.785737,13.289768,5561.556,238,
1770990639000,-8.786708,13.288155,5931.956,242,
1770990651000,-8.787581,13.286576,6119.008,242,
1770990663000,-8.7884,13.2849865,5561.556,242,
1770990675000,-8.789255,13.283443,5748.608,241,
1770990687000,-8.7901,13.281955,5378.2080000000005,234,
1770990699000,-8.790914,13.280625,5189.304,239,
1770990705000,-8.791199,13.280045,3902.1639999999998,257,
1770990709000,-8.791245,13.279715,2778,269,
1770990711000,-8.791217,13.27956,3165.068,283,
1770990723000,-8.790838,13.278408,4270.712,259,
1770990727000,-8.791025,13.277978,5196.712,239,
1770990735000,-8.791692,13.277108,5194.86,228,
1770990747000,-8.79276,13.27582,5748.608,230,
1770990755000,-8.793583,13.274903,6128.268,225,
1770990759000,-8.793999,13.274464,5926.4,229,
1770990771000,-8.795075,13.273282,4081.808,225,
1770990783000,-8.795905,13.272373,4259.6,227,
1770990795000,-8.796803,13.271374,4268.86,231,
1770990807000,-8.797823,13.270108,5387.468,235,
1770990810000,-8.79797,13.269874,5381.912,239,
1770990816000,-8.79832,13.269129,5380.0599999999995,251,
1770990819000,-8.79847,13.268646,4089.2160000000003,255,
1770990831000,-8.79888,13.2675085,4817.052,254,
1770990843000,-8.799354,13.265902,5750.46,251,
1770990855000,-8.79973,13.2647085,5007.808,254,
1770990867000,-8.800175,13.263205,5015.216,254,
1770990879000,-8.80066,13.261659,4083.66,251,
1770990891000,-8.801075,13.260438,3529.9120000000003,251,
1770990903000,-8.801362,13.259448,3165.068,253,
1770990914000,-8.801567,13.2584,3333.6,245,
1770990923000,-8.801481,13.25783,1487.156,281,
1770990925000,-8.801423,13.25777,1481.6,333,
1770990927000,-8.801345,13.257753,1303.808,351,
1770990937000,-8.801138,13.257704,755.616,330,
1770990939000,-8.80104,13.257707,1681.616,352,
1770990951000,-8.800725,13.257717,0,10,
1770991912000,-8.800194,13.257644,1498.268,334,
1770991920000,-8.799813,13.257367,1864.964,319,
1770991924000,-8.799764,13.257238,933.408,223,
1770991926000,-8.799825,13.257145,2966.904,240,
1770991933000,-8.800032,13.256692,2420.564,243,
1770991936000,-8.800128,13.25649,1492.712,254,
1770991940000,-8.800225,13.256289,2781.704,242,
1770991945000,-8.800391,13.255965,3153.956,238,
1770991952000,-8.800643,13.255571,1859.4080000000001,192,
1770991954000,-8.800756,13.255558,2422.416,176,
1770991957000,-8.800883,13.255573,2039.0520000000001,169,
1770991966000,-8.80102,13.25557,0,195,
1770991969000,-8.801158,13.255557,2407.6,184,
1770991972000,-8.801347,13.255493,942.668,234,
